"Flightid";"Routecode";"Origin";"Destination";"Flightdate";"Flightdurationmins";"Aircrafttype";"Seatsavailable";"Seatssold";"Revenue";"Operationalcost"
2151;"COK-BLR";"COK";"BLR";"2026-01-09";68;"Boeing 737 MAX 8";186;117;501813.0;414235.71
2152;"TRV-MAA";"TRV";"MAA";"2023-04-13";85;"ATR 72";78;50;451850.0;274788.16
2153;"DEL-BLR";"DEL";"BLR";"2025-11-14";227;"Boeing 787-8";256;227;866459.0;559235.96
2154;"AMD-BOM";"AMD";"BOM";"2026-07-09";196;"Airbus A321";220;147;1447215.0;1286479.78
2155;"BLR-HYD";"BLR";"HYD";"2024-04-01";71;"Airbus A320";180;139;445912.0;297915.79
2156;"DEL-BLR";"DEL";"BLR";"2022-10-16";119;"Airbus A320";180;120;1206000.0;692791.15
2157;"DEL-BLR";"DEL";"BLR";"2022-05-14";97;"ATR 72";78;74;288822.0;161680.77
2158;"GOI-DEL";"GOI";"DEL";"2024-04-02";94;"Airbus A320neo";186;157;1245324.0;751453.25
2159;"LKO-BOM";"LKO";"BOM";"2023-09-16";71;"Boeing 737 MAX 8";186;138;651912.0;493019.12
2160;"DEL-BLR";"DEL";"BLR";"2022-08-10";129;"Airbus A320neo";186;114;887946.0;566091.15
2161;"TRV-MAA";"TRV";"MAA";"2022-04-02";192;"Airbus A320";180;176;881408.0;572221.79
2162;"NAG-BOM";"NAG";"BOM";"2023-11-21";183;"Boeing 787-8";256;242;2288594.0;1450331.87
2163;"LKO-BOM";"LKO";"BOM";"2022-11-03";233;"ATR 72";78;59;270515.0;149486.79
2164;"PNQ-HYD";"PNQ";"HYD";"2026-01-31";149;"Boeing 787-8";256;256;2896384.0;1918401.92
2165;"IXB-CCU";"IXB";"CCU";"2022-02-08";101;"ATR 72";78;73;433255.0;315608.63
2166;"BOM-DEL";"BOM";"DEL";"2022-02-01";108;"ATR 72";78;58;178930.0;107661.32
2167;"BLR-HYD";"BLR";"HYD";"2026-06-10";133;"Airbus A321";220;210;1977360.0;1703567.36
2168;"JAI-DEL";"JAI";"DEL";"2023-07-15";163;"Airbus A320";180;133;766080.0;571405.79
2169;"IXC-DEL";"IXC";"DEL";"2024-11-11";117;"Boeing 787-8";256;200;2295600.0;1970447.36
2170;"NAG-BOM";"NAG";"BOM";"2024-03-10";62;"Boeing 787-8";256;240;2134560.0;1478222.12
2171;"PNQ-HYD";"PNQ";"HYD";"2026-10-30";156;"Boeing 787-8";256;200;1552400.0;1055369.21
2172;"PNQ-HYD";"PNQ";"HYD";"2022-07-07";234;"Airbus A320neo";186;116;382336.0;236479.93
2173;"COK-BLR";"COK";"BLR";"2025-10-01";199;"Airbus A320";180;146;1095146.0;874757.28
2174;"MAA-BOM";"MAA";"BOM";"2023-08-18";51;"Boeing 737 MAX 8";186;152;860016.0;718457.21
2175;"IXB-CCU";"IXB";"CCU";"2024-03-01";119;"Boeing 737 MAX 8";186;106;1193772.0;939899.72
2176;"COK-BLR";"COK";"BLR";"2023-10-05";135;"Boeing 737-800";189;114;1017108.0;578674.31
2177;"MAA-BOM";"MAA";"BOM";"2024-07-25";143;"Airbus A320neo";186;125;993875.0;783215.76
2178;"TRV-MAA";"TRV";"MAA";"2024-12-31";157;"ATR 72";78;74;724386.0;422040.78
2179;"IXC-DEL";"IXC";"DEL";"2022-04-26";204;"Airbus A320";180;166;1593268.0;1139876.99
2180;"BOM-DEL";"BOM";"DEL";"2024-08-28";85;"Airbus A320neo";186;116;1295836.0;778044.97
2181;"COK-BLR";"COK";"BLR";"2023-11-26";87;"Airbus A320";180;137;1134086.0;626747.24
2182;"IXB-CCU";"IXB";"CCU";"2026-07-11";50;"Airbus A320neo";186;111;403596.0;288795.65
2183;"COK-BLR";"COK";"BLR";"2023-10-11";138;"Airbus A320";180;149;847661.0;512567.97
2184;"JAI-DEL";"JAI";"DEL";"2023-12-27";121;"Boeing 787-8";256;222;2614050.0;1731326.63
2185;"CCU-DEL";"CCU";"DEL";"2022-04-03";211;"Airbus A320neo";186;176;734096.0;633700.7
2186;"PNQ-HYD";"PNQ";"HYD";"2025-01-13";115;"Boeing 787-8";256;213;1911462.0;1219942.29
2187;"IXC-DEL";"IXC";"DEL";"2023-05-22";126;"Boeing 737-800";189;187;1511895.0;876455.44
2188;"BLR-HYD";"BLR";"HYD";"2026-05-31";221;"Boeing 737-800";189;181;1612891.0;1445597.12
2189;"IXC-DEL";"IXC";"DEL";"2023-08-14";80;"Airbus A321";220;138;1113108.0;956803.04
2190;"AMD-BOM";"AMD";"BOM";"2022-07-12";87;"Airbus A320";180;105;694680.0;464639.14
2191;"JAI-DEL";"JAI";"DEL";"2022-03-08";107;"Boeing 737 MAX 8";186;151;979386.0;602078.25
2192;"COK-BLR";"COK";"BLR";"2024-04-21";203;"Boeing 787-8";256;173;1321547.0;1007308.96
2193;"JAI-DEL";"JAI";"DEL";"2023-07-30";138;"Boeing 787-8";256;210;1829310.0;1298305.9
2194;"BLR-HYD";"BLR";"HYD";"2022-11-07";173;"Airbus A320";180;100;1069000.0;899398.53
2195;"JAI-DEL";"JAI";"DEL";"2025-12-08";203;"ATR 72";78;58;619846.0;441233.87
2196;"BLR-HYD";"BLR";"HYD";"2022-09-25";177;"Airbus A321";220;122;618540.0;451174.85
2197;"LKO-BOM";"LKO";"BOM";"2025-08-19";173;"ATR 72";78;47;147439.0;92970.78
2198;"TRV-MAA";"TRV";"MAA";"2023-01-01";86;"Airbus A320";180;175;953925.0;750640.58
2199;"NAG-BOM";"NAG";"BOM";"2025-05-09";53;"Boeing 737-800";189;130;687570.0;607910.25
2200;"MAA-BOM";"MAA";"BOM";"2025-11-29";233;"ATR 72";78;44;172128.0;154210.92
2201;"BLR-HYD";"BLR";"HYD";"2022-07-10";129;"Airbus A320";180;136;400112.0;286119.58
2202;"LKO-BOM";"LKO";"BOM";"2026-10-26";121;"Airbus A320";180;99;988713.0;605798.94
2203;"BLR-HYD";"BLR";"HYD";"2024-02-10";214;"Airbus A320";180;122;330498.0;296763.72
2204;"DEL-BLR";"DEL";"BLR";"2025-03-15";203;"Airbus A321";220;174;1080540.0;702799.17
2205;"DEL-BLR";"DEL";"BLR";"2023-03-13";155;"Airbus A320";180;136;1005448.0;664638.5
2206;"BOM-DEL";"BOM";"DEL";"2026-11-17";108;"Boeing 787-8";256;210;1856400.0;1197202.3
2207;"AMD-BOM";"AMD";"BOM";"2023-08-19";80;"Boeing 737-800";189;188;1948244.0;1273069.24
2208;"TRV-MAA";"TRV";"MAA";"2025-01-23";63;"Boeing 737 MAX 8";186;104;800280.0;659733.4
2209;"CCU-DEL";"CCU";"DEL";"2025-10-02";113;"Airbus A320";180;152;1434576.0;836633.78
2210;"TRV-MAA";"TRV";"MAA";"2025-03-04";80;"Airbus A321";220;217;1234079.0;814897.21
2211;"BLR-HYD";"BLR";"HYD";"2023-02-28";202;"Boeing 737 MAX 8";186;183;1699155.0;1280091.15
2212;"IXB-CCU";"IXB";"CCU";"2022-06-08";216;"ATR 72";78;51;549882.0;379636.78
2213;"IXB-CCU";"IXB";"CCU";"2024-10-11";78;"Airbus A320";180;99;345807.0;278946.54
2214;"LKO-BOM";"LKO";"BOM";"2022-12-31";56;"Boeing 737-800";189;183;791475.0;624256.21
2215;"IXC-DEL";"IXC";"DEL";"2025-09-20";52;"Boeing 737 MAX 8";186;172;447888.0;254045.15
2216;"COK-BLR";"COK";"BLR";"2024-04-18";140;"Boeing 737 MAX 8";186;154;603834.0;537396.21
2217;"IXB-CCU";"IXB";"CCU";"2024-12-08";209;"Airbus A320neo";186;169;2014649.0;1418801.54
2218;"GOI-DEL";"GOI";"DEL";"2025-04-24";93;"Boeing 737 MAX 8";186;107;829571.0;637957.56
2219;"DEL-BLR";"DEL";"BLR";"2022-09-10";224;"Boeing 787-8";256;172;1983332.0;1162758.11
2220;"DEL-BLR";"DEL";"BLR";"2026-09-16";117;"ATR 72";78;42;419622.0;361075.6
2221;"BOM-DEL";"BOM";"DEL";"2024-12-11";110;"Airbus A320neo";186;161;1854559.0;1282494.55
2222;"AMD-BOM";"AMD";"BOM";"2022-08-30";212;"Airbus A321";220;176;1743456.0;1530298.45
2223;"BLR-HYD";"BLR";"HYD";"2024-01-08";99;"Airbus A320";180;171;922203.0;716526.78
2224;"PNQ-HYD";"PNQ";"HYD";"2023-04-25";118;"Boeing 787-8";256;146;1733750.0;1533193.82
2225;"MAA-BOM";"MAA";"BOM";"2026-11-07";148;"ATR 72";78;74;541236.0;376845.45
2226;"MAA-BOM";"MAA";"BOM";"2022-07-30";167;"Airbus A321";220;204;2327232.0;1822869.15
2227;"CCU-DEL";"CCU";"DEL";"2023-09-21";192;"Airbus A321";220;177;1424496.0;790889.5
2228;"CCU-DEL";"CCU";"DEL";"2025-07-11";231;"Boeing 737-800";189;137;1488231.0;1078754.04
2229;"DEL-BLR";"DEL";"BLR";"2024-11-23";95;"Boeing 787-8";256;142;1458056.0;1206194.14
2230;"NAG-BOM";"NAG";"BOM";"2022-02-05";174;"Boeing 737-800";189;130;629850.0;541624.66
2231;"CCU-DEL";"CCU";"DEL";"2022-06-05";155;"Boeing 787-8";256;158;551894.0;333672.2
2232;"BOM-DEL";"BOM";"DEL";"2022-10-15";219;"Airbus A320";180;143;1416701.0;949518.28
2233;"BOM-DEL";"BOM";"DEL";"2022-09-04";103;"Boeing 737-800";189;149;589742.0;435690.34
2234;"IXC-DEL";"IXC";"DEL";"2023-02-21";66;"Boeing 787-8";256;185;1201390.0;1030901.72
2235;"LKO-BOM";"LKO";"BOM";"2026-04-21";91;"Boeing 737 MAX 8";186;118;578318.0;394753.76
2236;"GOI-DEL";"GOI";"DEL";"2024-03-24";90;"Boeing 737 MAX 8";186;165;1454145.0;1260580.11
2237;"LKO-BOM";"LKO";"BOM";"2024-03-05";237;"Boeing 737 MAX 8";186;119;656404.0;519493.13
2238;"MAA-BOM";"MAA";"BOM";"2024-07-11";199;"Boeing 737 MAX 8";186;175;781900.0;664434.26
2239;"LKO-BOM";"LKO";"BOM";"2025-02-27";67;"Boeing 787-8";256;212;2361680.0;1690927.24
2240;"CCU-DEL";"CCU";"DEL";"2023-08-27";99;"Boeing 737 MAX 8";186;104;816400.0;590648.66
2241;"JAI-DEL";"JAI";"DEL";"2025-10-01";196;"Airbus A320";180;120;1285800.0;1145697.53
2242;"PNQ-HYD";"PNQ";"HYD";"2025-02-25";191;"Airbus A321";220;190;855190.0;580064.67
2243;"CCU-DEL";"CCU";"DEL";"2023-10-03";161;"Airbus A321";220;165;1483185.0;1024916.87
2244;"NAG-BOM";"NAG";"BOM";"2023-01-28";85;"Airbus A320";180;148;991896.0;854016.71
2245;"COK-BLR";"COK";"BLR";"2023-09-06";170;"Boeing 737-800";189;137;1285608.0;731759.35
2246;"LKO-BOM";"LKO";"BOM";"2022-05-08";87;"Boeing 787-8";256;194;2008676.0;1762070.42
2247;"NAG-BOM";"NAG";"BOM";"2023-06-03";127;"Airbus A320neo";186;136;1181160.0;843107.87
2248;"COK-BLR";"COK";"BLR";"2023-09-06";184;"Airbus A321";220;195;1224795.0;760328.41
2249;"BOM-DEL";"BOM";"DEL";"2023-10-14";118;"Airbus A320neo";186;111;808080.0;594493.52
2250;"BOM-DEL";"BOM";"DEL";"2026-04-11";79;"Boeing 737-800";189;106;304644.0;194977.46
2251;"COK-BLR";"COK";"BLR";"2026-11-07";112;"Airbus A320";180;159;819963.0;642649.72
2252;"IXB-CCU";"IXB";"CCU";"2026-07-27";52;"Airbus A320neo";186;104;436696.0;281619.64
2253;"JAI-DEL";"JAI";"DEL";"2023-11-27";233;"Airbus A320";180;134;802392.0;675883.73
2254;"LKO-BOM";"LKO";"BOM";"2024-04-19";91;"Airbus A320";180;134;1178932.0;868408.5
2255;"DEL-BLR";"DEL";"BLR";"2022-05-26";145;"Airbus A321";220;169;1710449.0;964571.87
2256;"NAG-BOM";"NAG";"BOM";"2026-09-28";91;"ATR 72";78;70;420490.0;322800.91
2257;"MAA-BOM";"MAA";"BOM";"2024-10-13";208;"Boeing 787-8";256;155;1246510.0;905718.97
2258;"AMD-BOM";"AMD";"BOM";"2024-03-03";141;"Airbus A320";180;176;1027664.0;861338.37
2259;"COK-BLR";"COK";"BLR";"2026-09-02";103;"Airbus A321";220;193;1337297.0;973388.3
2260;"IXC-DEL";"IXC";"DEL";"2026-11-03";52;"Boeing 737 MAX 8";186;179;763077.0;587990.68
2261;"PNQ-HYD";"PNQ";"HYD";"2026-01-03";87;"Boeing 737 MAX 8";186;156;1521936.0;843943.18
2262;"BLR-HYD";"BLR";"HYD";"2023-01-21";189;"ATR 72";78;72;706608.0;551071.3
2263;"DEL-BLR";"DEL";"BLR";"2025-10-16";231;"Airbus A321";220;170;1723460.0;1264099.5
2264;"IXC-DEL";"IXC";"DEL";"2023-11-16";147;"Boeing 737 MAX 8";186;158;746392.0;488694.32
2265;"JAI-DEL";"JAI";"DEL";"2024-02-07";129;"Boeing 787-8";256;167;1246989.0;1121930.13
2266;"MAA-BOM";"MAA";"BOM";"2024-10-17";95;"Boeing 737-800";189;153;1735785.0;1245750.42
2267;"AMD-BOM";"AMD";"BOM";"2022-01-09";77;"Boeing 737 MAX 8";186;134;1362244.0;1142292.06
2268;"GOI-DEL";"GOI";"DEL";"2023-12-22";78;"Airbus A320neo";186;161;1321649.0;995263.32
2269;"GOI-DEL";"GOI";"DEL";"2023-08-01";93;"Airbus A321";220;215;1638300.0;1196573.91
2270;"CCU-DEL";"CCU";"DEL";"2026-08-13";114;"Airbus A320neo";186;128;562432.0;442856.91
2271;"GOI-DEL";"GOI";"DEL";"2026-12-19";62;"Airbus A321";220;158;1203328.0;806094.97
2272;"IXB-CCU";"IXB";"CCU";"2026-08-04";120;"Boeing 787-8";256;249;1258197.0;715442.66
2273;"JAI-DEL";"JAI";"DEL";"2026-09-14";222;"Boeing 737-800";189;130;938340.0;529917.08
2274;"GOI-DEL";"GOI";"DEL";"2023-10-05";127;"Airbus A321";220;202;526210.0;456925.41
2275;"MAA-BOM";"MAA";"BOM";"2025-03-06";191;"Airbus A320";180;167;813123.0;725689.53
2276;"IXC-DEL";"IXC";"DEL";"2022-04-14";185;"ATR 72";78;73;575897.0;492369.95
2277;"IXC-DEL";"IXC";"DEL";"2023-08-22";179;"ATR 72";78;44;437096.0;340636.6
2278;"CCU-DEL";"CCU";"DEL";"2025-03-07";52;"Airbus A321";220;139;1288530.0;980982.66
2279;"LKO-BOM";"LKO";"BOM";"2026-01-25";188;"Boeing 737 MAX 8";186;182;1422694.0;1137351.9
2280;"LKO-BOM";"LKO";"BOM";"2026-07-27";178;"Airbus A321";220;217;2120307.0;1591713.17
2281;"MAA-BOM";"MAA";"BOM";"2025-02-16";210;"Boeing 737 MAX 8";186;108;1249884.0;1104952.58
2282;"AMD-BOM";"AMD";"BOM";"2024-01-14";193;"Boeing 737 MAX 8";186;117;990639.0;595836.59
2283;"PNQ-HYD";"PNQ";"HYD";"2025-08-10";238;"Boeing 787-8";256;245;1260280.0;745531.32
2284;"JAI-DEL";"JAI";"DEL";"2022-09-16";139;"Boeing 737-800";189;181;1129078.0;825043.33
2285;"AMD-BOM";"AMD";"BOM";"2024-08-14";79;"Airbus A320";180;113;327700.0;185873.74
2286;"AMD-BOM";"AMD";"BOM";"2026-11-13";237;"ATR 72";78;68;674968.0;389495.65
2287;"CCU-DEL";"CCU";"DEL";"2023-04-12";210;"Boeing 737-800";189;162;765126.0;487995.22
2288;"COK-BLR";"COK";"BLR";"2024-09-08";178;"Airbus A321";220;162;1561680.0;1263023.56
2289;"AMD-BOM";"AMD";"BOM";"2024-09-28";183;"ATR 72";78;74;238132.0;197832.39
2290;"PNQ-HYD";"PNQ";"HYD";"2025-12-13";223;"ATR 72";78;58;427982.0;377497.62
2291;"TRV-MAA";"TRV";"MAA";"2023-04-16";58;"Airbus A320";180;179;903234.0;497910.04
2292;"COK-BLR";"COK";"BLR";"2022-06-22";129;"Boeing 787-8";256;252;1102248.0;848759.33
2293;"IXC-DEL";"IXC";"DEL";"2025-08-16";72;"Airbus A320";180;111;586524.0;435274.39
2294;"COK-BLR";"COK";"BLR";"2022-07-10";83;"Airbus A321";220;147;1576722.0;1354320.64
2295;"LKO-BOM";"LKO";"BOM";"2023-12-17";96;"Airbus A320";180;143;972829.0;776095.64
2296;"GOI-DEL";"GOI";"DEL";"2026-03-31";208;"Airbus A320";180;179;1719295.0;969285.57
2297;"IXB-CCU";"IXB";"CCU";"2025-06-09";217;"Airbus A320neo";186;140;862540.0;686245.44
2298;"IXC-DEL";"IXC";"DEL";"2026-03-30";209;"Airbus A320";180;125;1310375.0;970356.06
2299;"DEL-BLR";"DEL";"BLR";"2026-10-04";221;"Airbus A320neo";186;178;1915814.0;1331396.96
2300;"IXC-DEL";"IXC";"DEL";"2022-05-21";140;"Airbus A321";220;124;998448.0;877308.15
2301;"GOI-DEL";"GOI";"DEL";"2022-07-30";185;"Boeing 737-800";189;111;1093905.0;639784.73
2302;"GOI-DEL";"GOI";"DEL";"2026-10-28";144;"Boeing 787-8";256;202;1898194.0;1132111.32
2303;"AMD-BOM";"AMD";"BOM";"2022-05-12";188;"Airbus A321";220;161;1338232.0;892520.5
2304;"IXB-CCU";"IXB";"CCU";"2026-07-26";55;"Airbus A321";220;121;505417.0;305505.45
2305;"GOI-DEL";"GOI";"DEL";"2026-06-28";93;"Boeing 737 MAX 8";186;136;1242496.0;997686.73
2306;"GOI-DEL";"GOI";"DEL";"2023-03-12";211;"Airbus A320neo";186;115;343850.0;300233.86
2307;"BLR-HYD";"BLR";"HYD";"2025-01-02";168;"ATR 72";78;47;550370.0;454177.06
2308;"COK-BLR";"COK";"BLR";"2024-01-22";153;"Airbus A320neo";186;148;1139304.0;751534.61
2309;"JAI-DEL";"JAI";"DEL";"2025-09-12";90;"Airbus A320neo";186;175;743750.0;437621.04
2310;"TRV-MAA";"TRV";"MAA";"2024-12-27";200;"Airbus A321";220;200;2194400.0;1817849.02
2311;"CCU-DEL";"CCU";"DEL";"2023-08-27";166;"Boeing 737 MAX 8";186;157;1389607.0;1232047.45
2312;"PNQ-HYD";"PNQ";"HYD";"2023-02-25";160;"Airbus A320neo";186;140;1210020.0;1066010.95
2313;"JAI-DEL";"JAI";"DEL";"2022-07-13";171;"Boeing 737-800";189;147;1083390.0;723919.73
2314;"LKO-BOM";"LKO";"BOM";"2023-05-14";206;"Airbus A320";180;160;1642080.0;1295841.0
2315;"DEL-BLR";"DEL";"BLR";"2022-02-12";72;"ATR 72";78;77;798105.0;563335.42
2316;"CCU-DEL";"CCU";"DEL";"2025-01-20";169;"Airbus A320neo";186;135;1219050.0;768361.33
2317;"IXC-DEL";"IXC";"DEL";"2023-02-23";105;"Boeing 787-8";256;212;1019084.0;680294.16
2318;"MAA-BOM";"MAA";"BOM";"2022-11-30";109;"Airbus A320neo";186;123;1043901.0;746045.43
2319;"MAA-BOM";"MAA";"BOM";"2022-08-11";223;"Boeing 737-800";189;158;1039324.0;843539.8
2320;"NAG-BOM";"NAG";"BOM";"2023-02-11";78;"Airbus A320";180;140;1229620.0;730012.95
2321;"COK-BLR";"COK";"BLR";"2023-09-25";144;"ATR 72";78;57;628539.0;504578.11
2322;"NAG-BOM";"NAG";"BOM";"2026-07-11";164;"Airbus A321";220;157;1051429.0;792380.23
2323;"BLR-HYD";"BLR";"HYD";"2023-06-02";54;"Boeing 737 MAX 8";186;139;1362339.0;807374.11
2324;"PNQ-HYD";"PNQ";"HYD";"2023-09-27";95;"Boeing 787-8";256;242;2538822.0;1858806.57
2325;"BLR-HYD";"BLR";"HYD";"2024-05-23";126;"Boeing 737-800";189;104;401856.0;298831.97
2326;"PNQ-HYD";"PNQ";"HYD";"2023-10-01";68;"ATR 72";78;51;602616.0;409276.38
2327;"BOM-DEL";"BOM";"DEL";"2024-11-24";224;"Boeing 737 MAX 8";186;181;1206003.0;701929.16
2328;"CCU-DEL";"CCU";"DEL";"2026-07-03";89;"Airbus A320neo";186;108;1177524.0;652904.92
2329;"CCU-DEL";"CCU";"DEL";"2023-06-21";129;"Airbus A321";220;186;489924.0;316371.41
2330;"DEL-BLR";"DEL";"BLR";"2025-11-13";121;"Airbus A320neo";186;183;1600701.0;1417157.43
2331;"NAG-BOM";"NAG";"BOM";"2023-08-06";173;"ATR 72";78;59;353292.0;217004.61
2332;"TRV-MAA";"TRV";"MAA";"2026-02-26";143;"Boeing 737-800";189;188;2149028.0;1448182.11
2333;"NAG-BOM";"NAG";"BOM";"2024-09-05";192;"Boeing 787-8";256;148;1485180.0;1256420.93
2334;"PNQ-HYD";"PNQ";"HYD";"2025-05-29";113;"Airbus A320neo";186;104;887952.0;732434.48
2335;"BLR-HYD";"BLR";"HYD";"2026-11-27";240;"Airbus A320neo";186;105;378525.0;240371.96
2336;"IXC-DEL";"IXC";"DEL";"2022-02-10";219;"Boeing 787-8";256;210;2119950.0;1812600.85
2337;"CCU-DEL";"CCU";"DEL";"2023-05-25";68;"ATR 72";78;75;639600.0;475994.91
2338;"IXB-CCU";"IXB";"CCU";"2023-07-23";116;"Airbus A320neo";186;121;986029.0;881256.91
2339;"AMD-BOM";"AMD";"BOM";"2026-04-24";205;"Airbus A320neo";186;166;987202.0;642884.72
2340;"PNQ-HYD";"PNQ";"HYD";"2022-06-19";183;"ATR 72";78;78;262314.0;205533.93
2341;"JAI-DEL";"JAI";"DEL";"2023-07-19";184;"Boeing 737 MAX 8";186;182;922922.0;578637.2
2342;"DEL-BLR";"DEL";"BLR";"2026-02-24";167;"Boeing 787-8";256;157;1664200.0;1150495.01
2343;"IXB-CCU";"IXB";"CCU";"2025-03-29";219;"Airbus A320";180;148;434380.0;251460.6
2344;"MAA-BOM";"MAA";"BOM";"2022-07-26";156;"Airbus A320";180;157;989728.0;764918.39
2345;"AMD-BOM";"AMD";"BOM";"2022-06-28";225;"Airbus A320neo";186;174;1509972.0;960116.38
2346;"TRV-MAA";"TRV";"MAA";"2025-09-05";103;"Airbus A320neo";186;160;1292320.0;1005481.48
2347;"MAA-BOM";"MAA";"BOM";"2022-07-19";215;"Boeing 787-8";256;146;646196.0;356388.34
2348;"JAI-DEL";"JAI";"DEL";"2023-02-24";59;"Boeing 737-800";189;187;1540880.0;1101663.14
2349;"CCU-DEL";"CCU";"DEL";"2024-08-26";67;"Airbus A321";220;130;955110.0;641024.28
2350;"GOI-DEL";"GOI";"DEL";"2025-01-21";193;"Airbus A320";180;133;386764.0;247894.11
2351;"PNQ-HYD";"PNQ";"HYD";"2023-12-02";81;"Airbus A321";220;132;508200.0;351923.13
2352;"AMD-BOM";"AMD";"BOM";"2025-09-21";97;"Boeing 737-800";189;123;514263.0;447641.78
2353;"MAA-BOM";"MAA";"BOM";"2023-08-03";193;"Boeing 737-800";189;153;802179.0;481667.62
2354;"TRV-MAA";"TRV";"MAA";"2023-10-01";141;"Boeing 737 MAX 8";186;118;1180708.0;900521.25
2355;"LKO-BOM";"LKO";"BOM";"2025-08-21";231;"Boeing 737 MAX 8";186;137;456073.0;328715.31
2356;"DEL-BLR";"DEL";"BLR";"2023-08-01";108;"Boeing 787-8";256;180;1126620.0;880237.83
2357;"GOI-DEL";"GOI";"DEL";"2026-05-24";143;"Boeing 737-800";189;139;474407.0;402656.28
2358;"TRV-MAA";"TRV";"MAA";"2023-12-29";214;"Airbus A320";180;159;1768875.0;1559343.89
2359;"AMD-BOM";"AMD";"BOM";"2022-08-03";101;"ATR 72";78;59;704814.0;539442.61
2360;"LKO-BOM";"LKO";"BOM";"2023-05-12";157;"Boeing 737 MAX 8";186;128;660608.0;555885.59
2361;"COK-BLR";"COK";"BLR";"2024-10-02";224;"Airbus A320neo";186;143;1533818.0;1373043.09
2362;"LKO-BOM";"LKO";"BOM";"2023-06-19";64;"Airbus A320";180;135;826740.0;615393.96
2363;"IXB-CCU";"IXB";"CCU";"2025-10-08";117;"Boeing 737-800";189;115;1361025.0;931499.67
2364;"COK-BLR";"COK";"BLR";"2025-06-21";220;"ATR 72";78;71;549469.0;435824.97
2365;"IXC-DEL";"IXC";"DEL";"2023-11-22";219;"Airbus A321";220;131;551117.0;491394.06
2366;"LKO-BOM";"LKO";"BOM";"2026-07-16";194;"Airbus A320neo";186;127;519811.0;446685.83
2367;"GOI-DEL";"GOI";"DEL";"2024-07-25";74;"Airbus A321";220;199;1693490.0;1334712.61
2368;"TRV-MAA";"TRV";"MAA";"2024-07-17";173;"Airbus A320";180;119;532168.0;446909.21
2369;"COK-BLR";"COK";"BLR";"2025-12-16";206;"Boeing 787-8";256;245;1320305.0;838404.68
2370;"CCU-DEL";"CCU";"DEL";"2022-08-01";115;"ATR 72";78;78;462774.0;265020.06
2371;"CCU-DEL";"CCU";"DEL";"2025-01-15";148;"Airbus A320neo";186;154;901516.0;717888.78
2372;"JAI-DEL";"JAI";"DEL";"2023-04-11";224;"Boeing 737 MAX 8";186;102;1071306.0;748698.16
2373;"BOM-DEL";"BOM";"DEL";"2026-10-19";150;"Boeing 737-800";189;187;1098251.0;691489.71
2374;"IXB-CCU";"IXB";"CCU";"2022-07-05";54;"ATR 72";78;68;360400.0;319167.77
2375;"LKO-BOM";"LKO";"BOM";"2023-02-16";159;"Boeing 737-800";189;188;1821344.0;1203391.48
2376;"TRV-MAA";"TRV";"MAA";"2024-04-13";123;"Boeing 737 MAX 8";186;184;1287816.0;929885.56
2377;"IXB-CCU";"IXB";"CCU";"2022-07-06";59;"Boeing 737-800";189;136;698632.0;503637.85
2378;"LKO-BOM";"LKO";"BOM";"2024-09-08";66;"Airbus A320";180;147;463197.0;278406.85
2379;"BLR-HYD";"BLR";"HYD";"2024-12-21";127;"Airbus A320";180;163;1722910.0;1199761.91
2380;"COK-BLR";"COK";"BLR";"2022-09-18";197;"ATR 72";78;59;581209.0;331743.17
2381;"JAI-DEL";"JAI";"DEL";"2026-10-01";117;"Boeing 737 MAX 8";186;120;308040.0;268924.69
2382;"IXB-CCU";"IXB";"CCU";"2023-11-26";188;"Boeing 737-800";189;174;1698936.0;1114371.87
2383;"AMD-BOM";"AMD";"BOM";"2022-07-22";152;"Boeing 737-800";189;131;1414931.0;1253373.84
2384;"LKO-BOM";"LKO";"BOM";"2023-12-05";128;"ATR 72";78;43;235167.0;187095.62
2385;"CCU-DEL";"CCU";"DEL";"2025-11-19";120;"Boeing 737 MAX 8";186;182;761670.0;459703.36
2386;"BOM-DEL";"BOM";"DEL";"2023-05-18";103;"Boeing 737-800";189;131;1105902.0;880801.43
2387;"IXC-DEL";"IXC";"DEL";"2023-03-14";181;"Airbus A320";180;139;558085.0;359547.76
2388;"IXB-CCU";"IXB";"CCU";"2023-07-13";138;"Airbus A321";220;185;2084395.0;1531747.45
2389;"TRV-MAA";"TRV";"MAA";"2023-10-05";119;"Boeing 737-800";189;112;696080.0;599004.54
2390;"TRV-MAA";"TRV";"MAA";"2023-01-26";86;"Boeing 787-8";256;195;2213835.0;1367936.35
2391;"NAG-BOM";"NAG";"BOM";"2026-04-17";213;"Boeing 737 MAX 8";186;160;1408320.0;1123633.88
2392;"LKO-BOM";"LKO";"BOM";"2025-07-06";160;"Boeing 787-8";256;182;1377558.0;1154314.08
2393;"PNQ-HYD";"PNQ";"HYD";"2022-12-30";106;"Airbus A321";220;220;1378080.0;1037142.01
2394;"BLR-HYD";"BLR";"HYD";"2024-10-02";233;"Airbus A320";180;143;1148147.0;735919.89
2395;"IXB-CCU";"IXB";"CCU";"2022-01-26";187;"Boeing 787-8";256;159;1274544.0;768575.47
2396;"COK-BLR";"COK";"BLR";"2026-06-05";72;"Airbus A321";220;201;786312.0;694961.88
2397;"PNQ-HYD";"PNQ";"HYD";"2026-02-09";180;"Boeing 787-8";256;226;1722572.0;1519969.16
